lugarnacimientoLabel,author,authorLabel,idGND
Bamberg,http://www.wikidata.org/entity/Q113620,Walter Boveri,116299924
Amsterdam,http://www.wikidata.org/entity/Q126499,Emil Meerwein,136768598
Amsterdam,http://www.wikidata.org/entity/Q126499,Emil Meerwein,1017439850
NA,http://www.wikidata.org/entity/Q115103,Johann Heinrich Gossler,136051863
NA,http://www.wikidata.org/entity/Q115103,Johann Heinrich Gossler,1078750580
Müddersheim,http://www.wikidata.org/entity/Q154796,Hans Freiherr Geyr von Schweppenburg,1034740520
Müddersheim,http://www.wikidata.org/entity/Q154796,Hans Freiherr Geyr von Schweppenburg,189557109
Kollmar,http://www.wikidata.org/entity/Q316784,Thusnelda Kühl,119052393
Kollmar,http://www.wikidata.org/entity/Q316784,Thusnelda Kühl,116582618
Munich,http://www.wikidata.org/entity/Q214865,Aloys Basselet von La Rosée,136311377
Munich,http://www.wikidata.org/entity/Q214865,Aloys Basselet von La Rosée,116738812
Sassenberg,http://www.wikidata.org/entity/Q324124,Joseph Uphues,119194643
Sassenberg,http://www.wikidata.org/entity/Q324124,Joseph Uphues,117313661
Reicholzheim,http://www.wikidata.org/entity/Q347712,Adalbert Ullmer,130530190
Reicholzheim,http://www.wikidata.org/entity/Q347712,Adalbert Ullmer,1012577775
Stein am Kocher,http://www.wikidata.org/entity/Q330054,Abraham Gumbel,12625429X
Stein am Kocher,http://www.wikidata.org/entity/Q330054,Abraham Gumbel,1068229004
Schloss Hünnefeld,http://www.wikidata.org/entity/Q569442,Clamor Heinrich Abel,131992759
Schloss Hünnefeld,http://www.wikidata.org/entity/Q569442,Clamor Heinrich Abel,1050400658
Hörstmar,http://www.wikidata.org/entity/Q763593,August Rickehof-Böhmer,133176975
Hörstmar,http://www.wikidata.org/entity/Q763593,August Rickehof-Böhmer,1026940214
Hanover,http://www.wikidata.org/entity/Q590874,Anton Julius Busmann Jr.,103469880X
Hanover,http://www.wikidata.org/entity/Q590874,Anton Julius Busmann Jr.,1149156414
Stuttgart,http://www.wikidata.org/entity/Q566809,Anni Schaad,17423564X
Stuttgart,http://www.wikidata.org/entity/Q566809,Anni Schaad,1028842295
Berkheim,http://www.wikidata.org/entity/Q825788,Bernhard Riedmiller,138335257
Berkheim,http://www.wikidata.org/entity/Q825788,Bernhard Riedmiller,1012297012
